Year,Water_Area_km2,Change_km2,Change_percent,Mean_Land_NDVI,NDVI_change_from_2022,Precip_SepNov_mm,Precip_JanNov_mm
2022,702.5488291415882,0.0,0.0,0.7781856537943964,0.0,384.32573431662286,2283.8029247444388
2023,480.7872253632149,-221.76160377837328,-31.565294052134924,0.7432365476533812,-0.02202976541263846,385.88322455111813,2359.89950981684
2024,402.11179533295063,-300.4370338086375,-42.76386513599739,0.7481185127572291,-0.014191398276441355,405.96897542447283,2063.3838885555565
